Description,Site Location,Contact Telephone,Contact URL,Contact Email,Location,Department,Service Level
GENERATORS,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
FLOURESCENCE,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SQUID MAGNETOMETER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SPECTROMETER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
ELECTRON BEAM,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
SCANNER MICROSCOPE,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
NEBULISER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SPECTROGRAPH,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
ELLIPSOMETER,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
BLD ALTER LEVEL2,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
PURDIE SOLIDS L2,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
BLD ALTER LEVEL2,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
NMR SPECTROMETER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
DIFFRACTOMETER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
IMAGE ANALYSER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
DLS FLOW,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
17IN MONITOR,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
SPLIT GPT,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
FIBRE LASER,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
DIGITAL NMR,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
RACK INTERFACE,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
NMR SPECTROMETER,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
DIFFRACTOMETER,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
PHOTOMETER,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
EXT RAID BOX,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
BLANKING UNIT,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
UPG PHILLIPS DIFFRAC,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SEAWATER TANK,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
X-RAY DEFRACTION,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
PUMP LASER,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
TUNABLE BBO,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
NETWORK CLUSTER,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
PROSTAR HPLC,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
PROSTAR HPLC,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
DEEP SEA CHAMBER,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
NETWORK CLUSTER,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
NETWORK CLUSTER,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
TEST EQUIP,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
TEST EQUIP,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
ML STAR AUTOLOAD,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
DISCOVER MICROWAVE,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
PINTOOL MINTRACK,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
CLASS 2 ENCLOSURE,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
SAFEFLOW CABINET,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
X-RAY DIFFRACTION,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
BENCHTOP MS,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
NMR 300 CONSOLE,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
ESM I PLUS,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
ISWAP INTERNAL PLATE,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
MIDI TOWER,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
PROSTAR HPLC,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
POWERWAVE XS,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
QSTAR XL SYSTEM,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
ENVISION MULTIABLE R,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
10W FIBRE LASER OPTI,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
HELISTAT MHEZ 100,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Parr 50ml Micro reac,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
CAMBRIDGE MAGNETIC R,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
BENCHTOP TOF MS SYST,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Computer software,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
ADVANCE 300 NMR CONS,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
IPG PHOTONICS UK LIM,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
x  CCD Spectrograph,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
U/W POWERCABLE,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Proteam Ffe 230   F1,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
AKTAspress TM Chroma,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Purdie level 2 ennob,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Flask Holder Akta ex,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
TE2000-U microscope,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
CAMERAPORT+SCOPE,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
PR CAMERA,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
WITEC ALPHA SNOM,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Video spectroscopy s,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Topas white laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
X-RAY DIFFRACTION,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
TRIAX SPECTROMETER,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
wavemaster,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Femosecond laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
LIQ NIT TANK,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Vacum Insld Pipeline,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
hardware,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
Cary Eclips Fluoresc,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
MAC 570 BOAT,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Micrscp sys Axioskop,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
2 pod high res face,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
2 pod high res face,St Andrews,441334 463253,https://www.cs.st-andrews.ac.uk,admin-cs@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Computer Science,
AKTA system,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
PicoSPM scanning tun,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Leica TCS SP2_UV405,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Leica TCS SP2_UV405,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Helium liquifier,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
3 wooden drums,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
infrared spectromete,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
X-ray diffraction,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Leica Confocal Syste,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
ISUZU SY02 WNR,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
network GC system et,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
2 Aktaxpress modules,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Spectrum analyser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
ettan 2D electrophor,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
prostar,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
AV supply for soc im,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
Surelite,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Reactarry Oem Produc,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
Control Software,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
Installation of cold,St Andrews,441334 462894,https://www.st-andrews.ac.uk/gsd/,gsd@st-andrews.ac.uk ,https://en.wikipedia.org/wiki/St_Andrews,Geography ,
analytical instrumen,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
spectropolarimeter,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
lab equipment,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Tobii eye tracker,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
Mira 9000D V5 XW OPT,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Verdi V5 laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Initiator assy EU EX,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
mini TV cable,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Data loggers,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Quantum dot device,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
CO2 Pump with gas cy,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Pulsed laser diode a,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Bolometer detector s,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Extended interaction,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Probot high resoln,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
Mirrors & Grids,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Computer equipment-T,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
MotionCapture Camera,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
QPCR Gene Analysis,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Sweep Magnet System,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Brucker Spectrometer,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Chemistry Robot,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Agilenttech Laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Lab Reactor +100ml H,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Femto Laser FS400,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Verdi V6 Laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Gilson215Semi Chrom,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
ES580 1016Microwave,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
500D Syringe Pump,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Verdi V5 Laser,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Avance400 Spectromet,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
LAMBDA950 Spectropho,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Troublesh HR Mono Di,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Liq N cooled CCD Det,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
20 DellPoweredge1950,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Super Computer PARK,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
Super Computer XGLR4,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
ASAP 2020 Micropore,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SkinSpan SpecFluMete,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
WS7 Wavelength Meter,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
2* Custom epi-struct,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
Autocorrelator Pulse,St Andrews,441334 463111,https://www.st-andrews.ac.uk/physics/,physics@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Physics & Astronomy,
